,name,company,year,Price,kms_driven,fuel_type
0,Hyundai Santro,Hyundai,2007,80000.0,45000.0,Petrol
1,Mahindra Jeep,Mahindra,2006,425000.0,40.0,Diesel
3,Hyundai Grand,Hyundai,2014,325000.0,28000.0,Petrol
4,Ford EcoSport,Ford,2014,575000.0,36000.0,Diesel
6,Ford Figo,Ford,2012,175000.0,41000.0,Diesel
7,Hyundai Eon,Hyundai,2013,190000.0,25000.0,Petrol
8,Ford EcoSport,Ford,2016,830000.0,24530.0,Diesel
9,Maruti Suzuki,Maruti,2015,250000.0,60000.0,Petrol
10,Skoda Fabia,Skoda,2010,182000.0,60000.0,Petrol
11,Maruti Suzuki,Maruti,2015,315000.0,30000.0,Petrol
12,Hyundai Elite,Hyundai,2014,415000.0,32000.0,Petrol
13,Mahindra Scorpio,Mahindra,2015,320000.0,48660.0,Diesel
14,Hyundai Santro,Hyundai,2007,80000.0,45000.0,Petrol
15,Mahindra Jeep,Mahindra,2006,425000.0,40.0,Diesel
16,Audi A8,Audi,2017,1000000.0,4000.0,Petrol
17,Audi Q7,Audi,2014,500000.0,16934.0,Diesel
18,Mahindra Scorpio,Mahindra,2016,350000.0,43000.0,Diesel
19,Maruti Suzuki,Maruti,2014,160000.0,35550.0,Petrol
20,Mahindra Scorpio,Mahindra,2016,350000.0,43000.0,Diesel
21,Mahindra Scorpio,Mahindra,2016,310000.0,39522.0,Diesel
22,Maruti Suzuki,Maruti,2015,75000.0,39000.0,Petrol
23,Hyundai i20,Hyundai,2012,100000.0,55000.0,Petrol
24,Hyundai i20,Hyundai,2012,100000.0,55000.0,Petrol
25,Hyundai i20,Hyundai,2012,100000.0,55000.0,Petrol
26,Maruti Suzuki,Maruti,2017,190000.0,72000.0,Petrol
27,Maruti Suzuki,Maruti,2016,290000.0,15975.0,Diesel
28,Maruti Suzuki,Maruti,2008,95000.0,70000.0,Petrol
29,Mahindra Bolero,Mahindra,2017,180000.0,23452.0,Diesel
30,Maruti Suzuki,Maruti,2014,385000.0,35522.0,Diesel
31,Mahindra Scorpio,Mahindra,2015,250000.0,48508.0,Diesel
32,Maruti Suzuki,Maruti,2017,180000.0,15487.0,Petrol
33,Maruti Suzuki,Maruti,2013,105000.0,39000.0,Petrol
34,Maruti Suzuki,Maruti,2013,105000.0,39000.0,Petrol
35,Toyota Innova,Toyota,2012,650000.0,82000.0,Diesel
36,Renault Lodgy,Renault,2018,689999.0,20000.0,Diesel
37,Skoda Yeti,Skoda,2012,448000.0,68000.0,Diesel
38,Maruti Suzuki,Maruti,2017,549000.0,32000.0,Diesel
39,Renault Duster,Renault,2012,501000.0,38000.0,Diesel
40,Renault Duster,Renault,2013,489999.0,27000.0,Diesel
41,Honda City,Honda,2011,280000.0,33000.0,Petrol
42,Maruti Suzuki,Maruti,2015,250000.0,60000.0,Petrol
43,Maruti Suzuki,Maruti,2013,349999.0,46000.0,Diesel
44,Honda Amaze,Honda,2013,284999.0,46000.0,Diesel
45,Honda Amaze,Honda,2015,345000.0,36000.0,Diesel
46,Honda City,Honda,2015,499999.0,55000.0,Petrol
47,Datsun Redi,Datsun,2017,235000.0,16000.0,Petrol
48,Maruti Suzuki,Maruti,2010,249999.0,36000.0,Petrol
49,Mitsubishi Pajero,Mitsubishi,2015,1475000.0,47000.0,Diesel
50,Mahindra Bolero,Mahindra,2017,180000.0,23452.0,Diesel
51,Maruti Suzuki,Maruti,2014,385000.0,35522.0,Diesel
52,Mahindra Scorpio,Mahindra,2015,250000.0,48508.0,Diesel
53,Maruti Suzuki,Maruti,2017,180000.0,15487.0,Petrol
54,Maruti Suzuki,Maruti,2013,105000.0,39000.0,Petrol
55,Maruti Suzuki,Maruti,2013,105000.0,39000.0,Petrol
56,Mahindra Scorpio,Mahindra,2015,395000.0,35000.0,Diesel
57,Maruti Suzuki,Maruti,2017,220000.0,30874.0,Petrol
58,Honda City,Honda,2017,170000.0,15000.0,Diesel
59,Maruti Suzuki,Maruti,2013,85000.0,29685.0,Petrol
60,Ford Figo,Ford,2012,175000.0,41000.0,Diesel
61,Hyundai Eon,Hyundai,2013,190000.0,25000.0,Petrol
62,Tata Indigo,Tata,2017,200000.0,130000.0,Diesel
63,Ford EcoSport,Ford,2016,830000.0,24530.0,Diesel
64,Tata Indigo,Tata,2017,200000.0,130000.0,Diesel
65,Mahindra Scorpio,Mahindra,2012,570000.0,19000.0,Diesel
66,Volkswagen Polo,Volkswagen,2014,315000.0,60000.0,Petrol
67,Skoda Fabia,Skoda,2010,182000.0,60000.0,Petrol
68,Maruti Suzuki,Maruti,2015,315000.0,30000.0,Petrol
70,Chevrolet Spark,Chevrolet,2010,110000.0,41000.0,Petrol
71,Renault Duster,Renault,2012,501000.0,35000.0,Diesel
72,Honda City,Honda,2015,448999.0,54000.0,Petrol
73,Mini Cooper,Mini,2013,1891111.0,13000.0,Petrol
74,Datsun Redi,Datsun,2017,235000.0,16000.0,Petrol
75,Skoda Fabia,Skoda,2011,159500.0,38200.0,Diesel
76,Honda Amaze,Honda,2015,344999.0,22000.0,Petrol
77,Honda Amaze,Honda,2015,344999.0,22000.0,Petrol
78,Renault Duster,Renault,2014,449999.0,50000.0,Diesel
79,Mini Cooper,Mini,2013,1891111.0,13500.0,Petrol
80,Mahindra Scorpio,Mahindra,2015,865000.0,30000.0,Diesel
81,Mahindra Scorpio,Mahindra,2014,699000.0,50000.0,Diesel
